transaction_id,location_id,supplier_id,time_id,customer_id,demand_cylinders,supply_cylinders,shortage_cylinders,price_per_cylinder,subsidy_amount,delivery_delay_days,stock_available,transport_cost,weather_impact_score,strike_impact_flag,festival_demand_flag,emergency_supply_flag,warehouse_capacity,fulfilled_orders,unfulfilled_orders
1,48,2,121,34,20,6,12,859.56,66.24,7,361,131.59,0.3,1,1,1,382,23,9
2,16,1,184,58,44,36,9,1169.48,10.47,6,480,145.48,0.54,1,1,1,715,41,3
3,3,10,48,82,36,23,12,953.77,97.21,3,465,54.15,0.71,0,1,1,780,12,9
4,20,1,147,80,25,13,10,1102.27,183.4,8,434,56.31,0.4,1,0,0,618,18,18
5,24,6,282,61,41,2,5,1076.06,255.92,2,325,194.33,0.73,1,1,1,117,27,5
6,33,7,364,96,46,5,5,989.52,93.85,2,126,73.62,0.56,0,1,1,736,30,6
7,24,17,294,28,5,40,18,1144.24,152.25,9,217,74.21,0.8,1,1,1,566,12,8
8,11,9,80,60,41,16,9,1061.8,47.02,5,12,182.48,0.73,0,1,0,260,9,13
9,49,7,236,32,27,39,17,1095.92,135.19,6,161,169.48,0.47,0,0,0,296,25,5
10,8,17,229,58,2,35,12,1134.76,85.19,6,261,148.22,0.67,1,1,0,755,21,15
11,36,3,284,82,12,41,15,889.06,43.78,8,422,155.04,0.86,0,1,0,888,39,12
12,38,16,61,44,28,45,17,917.31,147.04,5,339,53.3,1,1,1,1,428,8,13
13,40,5,220,34,44,34,2,1102.21,285.38,9,61,152.49,0.01,0,1,1,530,7,6
14,20,20,345,93,13,19,14,1131.68,183.29,0,196,84.25,0.17,1,0,1,847,20,12
15,35,18,89,21,21,43,16,1039.05,215.37,1,388,84,0.85,1,0,0,862,41,16
16,48,1,264,1,43,26,2,1197.32,66.2,3,25,115.2,0.27,0,0,1,713,46,1
17,25,4,228,55,8,42,1,1151.21,128.38,6,410,113.27,0.24,0,0,0,526,18,2
18,35,11,103,80,12,43,12,1120.21,262.01,8,475,129.5,0.43,1,0,0,997,20,9
19,25,20,88,49,41,17,3,898.14,129.3,8,431,159.27,0.93,1,1,0,993,25,12
20,29,9,23,97,44,49,0,933.21,92.47,2,85,184.87,0.18,1,0,0,798,17,17
21,18,8,293,21,11,35,10,944.29,47.47,2,121,117.76,0.27,1,0,0,984,22,18
22,46,8,267,99,19,12,18,837.14,174.57,0,198,139.28,0.84,0,1,1,820,11,13
23,18,5,17,55,8,35,10,1092.58,21.26,5,275,124.15,0.79,1,0,1,887,48,5
24,2,12,285,27,27,37,19,964.88,56.35,9,376,50.37,0.63,0,1,0,773,20,12
25,35,1,313,20,7,6,4,1048.4,60.66,9,315,173.94,0.75,1,1,0,801,22,11
26,16,15,162,95,21,10,14,1083.78,11.44,6,478,160.37,0.28,1,1,1,319,33,3
27,41,18,78,16,27,43,19,803.34,28.11,9,419,193.93,0.66,0,1,0,537,17,19
28,36,6,122,78,14,23,4,819.13,127.16,8,383,105.86,0.57,1,1,1,309,6,14
29,33,10,112,48,32,19,16,934.04,2.3,5,247,173.02,0.82,1,0,0,726,29,10
30,4,14,239,32,29,43,7,1062.22,138.84,2,121,159.15,0.02,0,0,0,282,27,10
31,33,8,210,32,24,8,1,991.3,290.74,9,407,67.51,0.03,0,1,0,200,47,15
32,14,3,349,53,28,9,5,1175.56,136.57,5,29,195.53,0.53,0,0,1,652,23,13
33,21,19,2,53,24,3,17,902.75,243.29,7,301,72.98,0.82,0,1,1,924,19,14
34,48,12,203,2,2,33,17,841.55,0.82,7,325,174.57,0.55,1,0,1,361,32,15
35,20,12,287,57,31,2,13,845.74,223,0,290,121.05,0.36,0,1,1,255,18,9
36,8,15,117,22,12,34,2,890.02,137.88,9,454,140.1,0.69,0,0,0,300,13,0
37,7,7,300,52,1,35,1,894.49,87.77,8,254,127.38,0.62,0,0,1,124,18,16
38,3,4,346,81,21,18,16,951.58,1.14,3,105,60.06,0.03,0,1,1,985,38,2
39,17,9,114,96,29,27,0,1025.63,176.15,7,183,192.09,0.25,1,0,0,284,12,16
40,33,16,74,81,30,49,7,899.67,232.92,8,181,180.99,0.14,0,0,0,718,33,0
41,48,13,241,58,42,44,0,1006.15,50.99,2,371,137.98,0.78,0,0,1,925,15,6
42,12,4,302,34,1,27,18,991.13,236.02,0,132,123.54,0.45,0,1,1,673,21,7
43,22,9,54,71,22,38,11,923.63,261.07,3,414,99.9,0.04,1,1,0,323,3,16
44,22,18,159,93,42,39,3,973.62,226.28,5,382,76.22,0.77,0,0,1,159,14,1
45,46,15,109,17,8,17,11,953.34,243.05,7,97,167.38,0.74,0,1,0,617,33,8
46,30,15,280,88,13,9,11,1180.02,199.66,2,135,127.51,0.4,1,1,1,145,16,17
47,38,6,153,72,14,32,6,827.55,237.13,2,462,151.77,0,1,0,0,911,28,2
48,38,11,163,23,42,23,17,1106.79,260.06,1,275,94.27,0.05,1,0,1,193,27,19
49,45,8,57,33,1,44,6,923.76,157.79,1,243,183.7,0.26,1,1,0,254,31,6
50,8,17,328,29,32,14,10,874.16,249.5,5,266,196.72,0.94,1,0,1,865,5,6
51,27,17,325,19,38,11,0,1148.28,236.98,0,412,149.15,0.02,0,0,0,574,25,18
52,27,18,214,69,12,4,7,987.82,58.39,4,283,178.14,0.42,1,1,1,309,47,15
53,34,4,28,37,47,38,6,1004.06,86.18,0,491,85.14,0.11,1,1,0,713,1,16
54,21,15,204,87,45,48,18,966.32,263.18,8,273,195.84,0.58,0,0,1,795,11,8
55,30,2,33,26,47,16,8,961.81,118.89,9,311,84.09,0.83,0,0,1,181,16,1
56,33,2,309,24,16,36,9,1077.14,299.16,1,223,84.28,0.18,0,1,1,173,38,8
57,28,10,122,54,24,25,0,1103.76,197.97,8,303,188.07,0.38,1,1,0,164,27,3
58,47,3,16,21,44,5,12,1115.62,13.96,1,402,92.78,0.32,1,1,1,138,33,7
59,33,8,154,97,20,10,12,1010.08,116.02,1,467,104.58,0.33,0,0,1,363,36,14
60,5,20,343,90,43,5,15,1080.8,237.51,8,44,177.99,0.72,1,1,0,377,15,19
